seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	854662	854772	111	*	X000029	100130417	852953	854817	1865	-	0	inside	44	LINC02593
chr1	854533	854626	94	*	X000030	100130417	852953	854817	1865	-	0	inside	190	LINC02593
chr1	854953	855237	285	*	X000031	100130417	852953	854817	1865	-	135	upstream	135	LINC02593
chr1	856044	856178	135	*	X000032	100130417	852953	854817	1865	-	1226	upstream	1226	LINC02593
chr1	856198	856284	87	*	X000033	100130417	852953	854817	1865	-	1380	upstream	1380	LINC02593
chr1	858444	858672	229	*	X000035	148398	860530	879961	19432	+	1857	upstream	1857	SAMD11
chr1	858834	859124	291	*	X000036	148398	860530	879961	19432	+	1405	upstream	1405	SAMD11
chr1	859662	859793	132	*	X000037	148398	860530	879961	19432	+	736	upstream	736	SAMD11
chr1	859798	860067	270	*	X000038	148398	860530	879961	19432	+	462	upstream	462	SAMD11
chr1	860248	860532	285	*	X000039	148398	860530	879961	19432	+	0	overlapStart	0	SAMD11
chr1	860604	860687	84	*	X000040	148398	860530	879961	19432	+	0	inside	73	SAMD11
chr1	917638	917772	135	*	X000084	84808	910579	917473	6895	-	164	upstream	164	PERM1
chr1	918148	918267	120	*	X000085	84808	910579	917473	6895	-	674	upstream	674	PERM1
chr1	918403	918490	88	*	X000086	84808	910579	917473	6895	-	929	upstream	929	PERM1
chr1	919168	919278	111	*	X000087	84808	910579	917473	6895	-	1694	upstream	1694	PERM1
chr1	1009915	1010136	222	*	X000092	401934	1007126	1009687	2562	-	227	upstream	227	RNF223
chr1	1010407	1010676	270	*	X000093	401934	1007126	1009687	2562	-	719	upstream	719	RNF223
chr1	1010690	1010824	135	*	X000094	401934	1007126	1009687	2562	-	1002	upstream	1002	RNF223
chr1	1053639	1053758	120	*	X000095	54991	1017198	1051736	34539	-	1902	upstream	1902	C1orf159
chr1	1100490	1100714	225	*	X000132	406984	1102484	1102578	95	+	1769	upstream	1769	MIR200B
chr1	1100970	1101104	135	*	X000133	406984	1102484	1102578	95	+	1379	upstream	1379	MIR200B
chr1	1101255	1101689	435	*	X000134	406984	1102484	1102578	95	+	794	upstream	794	MIR200B
chr1	1101255	1101689	435	*	X000134	406983	1103243	1103332	90	+	1553	upstream	1553	MIR200A
chr1	1101810	1101842	33	*	X000135	406984	1102484	1102578	95	+	641	upstream	641	MIR200B
chr1	1101810	1101842	33	*	X000135	406983	1103243	1103332	90	+	1400	upstream	1400	MIR200A
chr1	1102030	1102814	785	*	X000136	406984	1102484	1102578	95	+	0	includeFeature	0	MIR200B
chr1	1102030	1102814	785	*	X000136	406983	1103243	1103332	90	+	428	upstream	428	MIR200A
chr1	1102030	1102814	785	*	X000136	554210	1104385	1104467	83	+	1570	upstream	1570	MIR429
chr1	1102868	1103287	420	*	X000137	406983	1103243	1103332	90	+	0	overlapStart	0	MIR200A
chr1	1102868	1103287	420	*	X000137	554210	1104385	1104467	83	+	1097	upstream	1097	MIR429
chr1	1103355	1103474	120	*	X000138	554210	1104385	1104467	83	+	910	upstream	910	MIR429
chr1	1103502	1103502	1	*	X000139	554210	1104385	1104467	83	+	882	upstream	882	MIR429
chr1	1103577	1103710	134	*	X000140	554210	1104385	1104467	83	+	674	upstream	674	MIR429
chr1	1104207	1104385	179	*	X000141	554210	1104385	1104467	83	+	0	overlapStart	0	MIR429
chr1	1104461	1104701	241	*	X000142	554210	1104385	1104467	83	+	0	overlapEnd	75	MIR429
chr1	1107117	1107310	194	*	X000150	254173	1109286	1133313	24028	+	1975	upstream	1975	TTLL10
chr1	1107446	1107655	210	*	X000151	254173	1109286	1133313	24028	+	1630	upstream	1630	TTLL10
chr1	1108512	1108646	135	*	X000152	254173	1109286	1133313	24028	+	639	upstream	639	TTLL10
chr1	1108962	1109200	239	*	X000153	254173	1109286	1133313	24028	+	85	upstream	85	TTLL10
chr1	1109261	1109380	120	*	X000154	254173	1109286	1133313	24028	+	0	overlapStart	0	TTLL10
chr1	1109397	1109484	88	*	X000155	254173	1109286	1133313	24028	+	0	inside	110	TTLL10
chr1	1935016	1935180	165	*	X000253	85452	1884752	1935276	50525	-	0	inside	95	CFAP74
chr1	1935241	1935735	495	*	X000254	85452	1884752	1935276	50525	-	0	overlapStart	0	CFAP74
chr1	1936392	1936526	135	*	X000255	85452	1884752	1935276	50525	-	1115	upstream	1115	CFAP74
chr1	1949026	1949175	150	*	X000264	2563	1950768	1962192	11425	+	1592	upstream	1592	GABRD
chr1	1979919	1980084	166	*	X000291	5590	1981909	2116834	134926	+	1824	upstream	1824	PRKCZ
chr1	1980739	1980878	140	*	X000292	5590	1981909	2116834	134926	+	1030	upstream	1030	PRKCZ
chr1	1980939	1981268	330	*	X000293	5590	1981909	2116834	134926	+	640	upstream	640	PRKCZ
chr1	2283952	2284101	150	*	X000466	100129534	2281853	2284100	2248	-	0	overlapStart	0	LOC100129534
chr1	2284334	2284468	135	*	X000467	100129534	2281853	2284100	2248	-	233	upstream	233	LOC100129534
chr1	2285184	2285361	178	*	X000468	100129534	2281853	2284100	2248	-	1083	upstream	1083	LOC100129534
chr1	2285997	2286088	92	*	X000469	100129534	2281853	2284100	2248	-	1896	upstream	1896	LOC100129534
chr1	2406755	2406915	161	*	X000589	9651	2407754	2436969	29216	+	838	upstream	838	PLCH2
chr1	2406920	2407159	240	*	X000590	9651	2407754	2436969	29216	+	594	upstream	594	PLCH2
chr1	2407265	2407540	276	*	X000591	9651	2407754	2436969	29216	+	213	upstream	213	PLCH2
chr1	2407680	2407819	140	*	X000592	9651	2407754	2436969	29216	+	0	overlapStart	0	PLCH2
chr1	2407850	2407984	135	*	X000593	9651	2407754	2436969	29216	+	0	inside	95	PLCH2
chr1	2461612	2461746	135	*	X000624	388585	2460184	2461684	1501	-	0	overlapStart	0	HES5
chr1	2461904	2462024	121	*	X000625	388585	2460184	2461684	1501	-	219	upstream	219	HES5
chr1	2462105	2462113	9	*	X000626	388585	2460184	2461684	1501	-	420	upstream	420	HES5
chr1	2462167	2462301	135	*	X000627	388585	2460184	2461684	1501	-	482	upstream	482	HES5
chr1	2462324	2462563	240	*	X000628	388585	2460184	2461684	1501	-	639	upstream	639	HES5
